,_index,_type,_id,_score,_source.body
0,msmarco,_doc,MARCO_4136905,8.103859,"Genre: rpg. A mysterious force has landed on Earth. Team up with the Avengers, Spider-Man, the X-Men, and S.H.I.E.L.D. to harness the potential of this new power before Dr. Doom, Loki, and the world's most powerful villains beat you to it. Recruit your favorite Marvel Heroes, gear up and Assemble in this new game. A mysterious force has landed on Earth. Team up with the Avengers, Spider-Man, the X-Men, and S.H.I.E.L.D. to harness the potential of this new power before Dr. Doom, Loki, and the world's most powerful villains beat you to it."
1,msmarco,_doc,MARCO_6908391,7.522586,"Experience the first console video game featuring characters and storylines from the blockbuster film Marvelâs The Avengers and the much-anticipated sequel Marvelâs The Avengers: Age of Ultron, and more. Play as the most powerful Super Heroes in their quest to save humanity."
2,msmarco,_doc,MARCO_8193089,7.4770813,"Armed with his powerful enchanted Uru hammer Mjolnir, Thor is the mightiest warrior of Asgard, a founding member of the Avengers and one of the strongest, most powerful beings on Earth. 1  Forums 2  Â». Thor."
3,msmarco,_doc,MARCO_2201512,7.473171,"Whenever you start talking about teams of heroes, the question of who is the most powerful comes up pretty quickly. Here at Screen Rant we attempt to answer that question with our definitive list of The 20 Most Powerful Members of the Avengers, Ranked. 20. Captain America"
4,msmarco,_doc,MARCO_2201519,6.8439264,"One of the founding Avengers, Ant-Man found that being surrounded by such powerful beings as Thor and The Hulk was intimidating. He then altered his formula to make himself grow instead of shrink, taking the identity of Giant Man."
5,msmarco,_doc,MARCO_5333991,6.8419666,The 25 most powerful film franchises in Hollywood ... and why they matter more than movie stars. Coming on strong at No. 1 on the Hollywood franchise power list: the Marvel Cinematic Universe. Its most profitable film so far: The Avengers..
6,msmarco,_doc,MARCO_800078,6.8380527,"Kang then sent a robot double of himself to capture the Avengers during a war with rival time lord Zarrko the Tomorrow Man. One of Kang's most relentless campaigns was his quest for the Celestial Madonna, a woman fated to give birth to the most powerful being in the universe."
7,msmarco,_doc,MARCO_4282143,6.8360987,"It now knows not only about the Avengers, but also the powerful menaces that require those superheroes and more to face them. In response, Phil Coulson of the Strategic Homeland Intervention, Enforcement and Logistics Division assembles an elite covert team to find and deal with these threats wherever they are found."
8,msmarco,_doc,MARCO_3673628,6.8360987,"Vito carves open the elderly Don's stomach, thus avenging his family. By the early 1930s, Vito has organized his criminal operations as the Corleone crime family, the most powerful in the nation. Abbandando is the consigliere, and Clemenza and Tessio are caporegimes."
9,msmarco,_doc,MARCO_429711,6.832196,"New Avengers Vol 3 #30. (April, 2015) The Living Tribunal is a vastly powerful humanoid cosmic entity who has existed as long as the universe itself. Its function is to safeguard the Multiverse (the total sum of all universes) from an imbalance of mystical forces."
10,msmarco,_doc,MARCO_4599584,6.832196,"By Jesse Schedeen. Charles Xavier is one of the most powerful heroes in the Marvel Universe. He formed the X-Men and devoted his life to peaceful co-existence between humans and mutants. And in the pages of Avengers vs. X-Men #11 last week, he was finally killed in battle."
11,msmarco,_doc,MARCO_1560396,6.830248,"For me, it all comes down to whether Thor can get at Superman while the Hulk takes on Doomsday. Silver Age Supes is insanely powerful but he is vulnerable to magic. As Iâve stated before, Supermanâs weakness to magic was downplayed in the JLA/Avengers crossover when Thor fought Supes."
12,msmarco,_doc,MARCO_2451557,6.830248,"That may seem a tall order, but thereâs no shortage of villains who could fit the bill. Here is our list of the 10 Most Powerful Marvel Villains. The classic Marvel villain Ultron may have been made famous on film in The Avengers: Age of Ultron, but the comic book version is even more dangerous."
13,msmarco,_doc,MARCO_6991955,6.8283014,"marvelâs agents of s.h.i.e.l.d. 8 p.m. on abc. The new trailer for Marvelâs âAvengers: Infinity Warâ arrived this week, with an absurdly deep roster of stars appearing as extremely powerful superheroes for extremely short amounts of time."
