,_index,_type,_id,_score,_source.body
0,msmarco,_doc,MARCO_7533683,13.82423,"Washington, DC's most popular museum - Smithsonian National Air and Space Museum. âWashington, DC's most popular museumâ Review of Smithsonian National Air and Space Museum. Owner description: The most popular of the Smithsonian museums features the Wright Brothers' 1903 Flyer and Lindbergh's Spirit of St. Louis. One can easily understand why so many people come to the museum. Countless pieces of aviation history are displayed here."
1,msmarco,_doc,MARCO_1639886,13.706368,Hotels near Smithsonian Museum. Find hotels near Smithsonian Museum in Washington DC on Hotels-Rates.com. Many of these Washington hotels are within a short distance of Smithsonian Museum. 1-25 of 75 Hotels within 1.8 miles of Smithsonian Museum. Hotels closest to Smithsonian Museum are listed first.
2,msmarco,_doc,MARCO_620457,13.270075,Smithsonian Museums. Smithsonian Museums. No trip to the Nation's Capital Region would be complete without exploring the sites associated with The Smithsonian Institution - the world's largest museum and research complex. The Smithsonian's footprint in the DC area includes 19 museums and galleries and the National Zoological Park.
3,msmarco,_doc,MARCO_2558217,13.2098675,"1 United Statesâº. 2  District of Columbia (DC)âº. 3  Washington DCâº. 4  Washington DC Hotelsâº.  Hotels near Smithsonian National Museum of Natural History. 10th Street and Constitution Ave, Washington DC, DC 20560. Read Reviews of Smithsonian National Museum of Natural History. Check In Check Out."
4,msmarco,_doc,MARCO_389907,13.200424,"Smithsonian Museums in Washington, DC. History, science, art and culture come alive at these DC museums. Collectively called the Smithsonian Institution, this world-renowned museum and research complex in the District consists of 17 museums, galleries and a zoo. Explore and learn about everything from the origins of man and the future of flight to the history of art across multiple continents with nearly 140 million objects, works of art and specimens to discover."
5,msmarco,_doc,MARCO_7756109,12.991928,"Learn about visiting each of the Smithsonian museums in Washington, DC, including museum tours, locations, hours, special exhibits and programs. A Visitor's Guide to the Smithsonian Museums in Washington DC"
6,msmarco,_doc,MARCO_7756108,12.960014,"Don't miss the other Smithsonian Museums that are located off of the Mall: 1  National Zoo - Rock Creek Park, Washington, DC. The National Zoo is a part of the Smithsonian Institution with more than 435 different species of animals. 2  Smithsonian Anacostia Community Museum - 1901 Fort Place SE, Washington, DC."
7,msmarco,_doc,MARCO_7756106,12.555448,"Museums Located on the National Mall. 1  Smithsonian Institution Building - 1000 Jefferson Drive SW, Washington, DC. The historic building, also known as the Castle, is a good place to start your tour of the museums. 2  Smithsonian Arts and Industries Building - 900 Jefferson Drive SW, Washington, DC."
8,msmarco,_doc,MARCO_5095540,12.532326,"Conveniently located in Chantilly, Virginia, a picturesque Northern Virginia town located within the Washington, DC metropolitan area and just 1.3 miles from the (Smithsonian Institution) Air & Space Museum via complimentary shuttle.onveniently located in Chantilly, Virginia, a picturesque Northern Virginia town located within the Washington, DC metropolitan area and just 1.3 miles from the (Smithsonian Institution) Air & Space Museum via complimentary shuttle."
9,msmarco,_doc,MARCO_3713710,12.526573,"Attractions & Things to Do. Here's everything you need to know about attractions and things to do in Washington, DC. Find information on the Smithsonian, the National Mall, museums, monuments, government buildings, sightseeing tours, national landmarks, special events, and much more.ttractions & Things to Do. Here's everything you need to know about attractions and things to do in Washington, DC. Find information on the Smithsonian, the National Mall, museums, monuments, government buildings, sightseeing tours, national landmarks, special events, and much more."
10,msmarco,_doc,MARCO_3482847,12.324757,"The Smithsonian Institute has many locations, most of which are located on the National Mall. Others are in Washington DC and the nearby metropolitan area, while additional facilities and Smithsonian affiliates are spread throughout the country and, in fact, the world. Click here to see a map of the Smithsonian Institution museums and galleries in the DC area."
11,msmarco,_doc,MARCO_288157,12.275092,"History, science, art and culture live at these free attractions in Washington, DC. Museums farther than the eye can see. Collectively called the Smithsonian Institution, the world-renowned museum and research complex consists of 17 museums and galleries in Washington, DC, as well as the National Zoo."
