,_index,_type,_id,_score,_source.body
0,msmarco,_doc,MARCO_7274898,12.477904,1.2. The History of Sociology 5. Which of the following was a topic of study in early sociology? astrology; economics; physics; history; 6. Which founder of sociology believed societies changed due to class struggle? Ãmile Comte; Karl Marx; Plato; Herbert Spencer; 7. The difference between positivism and interpretive sociology relates to: 1  whether individuals like or dislike their society. 2  whether research methods use statistical data or person-to-person research. 3  whether sociological studies can predict or improve society. 4  all of the above.
1,msmarco,_doc,MARCO_5390919,12.328339,"The term sociology was coined by Auguste Comte in 1839. Comte is also the father of positivism. Comte's theory of positivism limits knowledge to the observable, and is crucial in approaching sociology as a science."
2,msmarco,_doc,MARCO_4055549,12.314646,"Although Comteâs positivism is a little odd by todayâs standards, it inaugurated the development of the positivist tradition within sociology. In principle, positivism is the sociological perspective that attempts to approach the study of society in the same way that the natural sciences approach the natural world."
3,msmarco,_doc,MARCO_1429039,12.310751,"Sociology - what is positivism? I&#39;ve just started a sociology course and my first unit is on perspectives, focusing on positivism. Can anyone give me a brief exlpanation of this approach and its pros/cons? I&#39;ve looked in loads of textbooks and it&#39;s confusing me so much - I&#39;ve been out of education for a while..."
4,msmarco,_doc,MARCO_4055545,12.308807,"The term sociology was coined by Auguste Comte in 1839. Comte is also the father of positivism. Comte's theory of positivism limits knowledge to the observable, and is crucial in approaching sociology as a science. The study of society dates back to Greek philosophers, however it was not distinguished as its own field of study until Comte."
5,msmarco,_doc,MARCO_1429042,12.306864,"After Comte's death, Emile Durkheim really developed the field of sociology by insisting that this new science concentrate on the study of social facts. Later, this strict relience on positivism would be challenged by sociologists like Max Weber, but positivism set the basic standard for establishing sociology as a social science."
6,msmarco,_doc,MARCO_4055546,12.282579,Sociology began as an intellectual/philosophical effort by a French man named Auguste Comte (born 1798 and died 1857). He is considered the founder of sociology and coined Sociology.. Comte's Definition of Sociology is the science of society. In his observation Comte believed that society's knowledge passed through 3 stages which he observed in France. His life came in what he called the positivism stage (science-based).
7,msmarco,_doc,MARCO_5390922,12.274972,Related Links. Auguste Comte [1798 1857] was the father of Positivism and inventor of the term sociology. He played a key role in the development of the social sciences and was highly influential on thoughts about progress in the nineteenth and twentieth centuries.
8,msmarco,_doc,MARCO_4555241,12.267254,"1. August Comte is known as the founder of positivism and is credited with coininging the term sociology. Comte helped shape and expand the field of sociology and placed a great deal of emphasis in his work on systematic observation and social order. More Â». Karl Marx.e is credited with making sociology a science. One of his most famous pieces of work includes Suicide: A Study In Sociology, and another important work of his that focuses on how society functions and regulates itself is The Division of Labor in Society."
9,msmarco,_doc,MARCO_1429037,12.033568,"Some asked him to delineate between the religion of positivism and the science of positivism. Eventually, he revised Positive Philosophy, renaming the science of positivism by taking the Latin root Socius (meaning group or relationship) and coupling it with the Greek work logos (meaning knowledge or study). Hence, sociology."
10,msmarco,_doc,MARCO_3011777,12.017954,"Interpretivist views have different origins in different disciplines. Schultz, Cicourel and Garfinkel (phenomenology/sociology), the Chicago School of Sociology (sociology), and Boas and Malinowski (anthropology) are often connected with the origin the interpretivist paradigm.he interpretivist paradigm developed as a critique of positivism in the social sciences."
11,msmarco,_doc,MARCO_5290601,12.010195,"The term, sociology, meaning the study of society was given to this new science by the man. He suggested applying the scientific method, known as positivism, to society. Herbert Spencer is referred as the second founder of sociology. Unlike Comte, he thinks that sociology should not influence social reform. He thinks that the evolution of society should be left to improve on its own."
