,_index,_type,_id,_score,_source.body
0,msmarco,_doc,MARCO_6059758,6.7107773,"Anemia: Symptoms. Symptoms of anemia can vary greatly from person to person, depending on the severity of anemia and the underlying cause. Symptoms can be mild to severe and can include symptoms of complications, such as hypotension and shock. In anemia, there are a low number of red blood cells in the blood.here are also many other symptoms that can accompany the symptoms of anemia, depending on the disease, disorder or condition that is causing anemia. Complications of anemia can be serious, even life-threatening. Underlying diseases, disorders or conditions of anemia can also cause complications."
1,msmarco,_doc,MARCO_6059756,6.682539,"Other symptoms of anemia can include bleeding, vomiting blood, black tarry stools (melana), fever, severe bone pain, abdominal pain, weight loss, loss of appetite, and depression.Symptoms can also include flu-like symptoms, muscle aches, vomiting, and diarrhea.Because anemia is a symptom of an underlying disease, condition or disorder, some of which can be serious, any symptoms of anemia should be evaluated by a physician or other licensed health care provider....more about Anemia Â».ymptoms can also include flu-like symptoms, muscle aches, vomiting, and diarrhea. Because anemia is a symptom of an underlying disease, condition or disorder, some of which can be serious, any symptoms of anemia should be evaluated by a physician or other licensed health care provider.... more about Anemia Â»."
2,msmarco,_doc,MARCO_1313616,6.5481014,"The symptoms of pernicious anemia can vary amongst individuals, depending on the cause, the severity of anemia, and other factors. Direct symptoms of pernicious anemia are due to a lack of red blood cells, which are vital to carrying oxygen to the cells of the body.Symptoms can include pale skin, shortness of breath, fatigue, dizziness, headache, cold hands and feet, heart palpitations, and chest pain.ore information about symptoms of Pernicious anemia and related conditions: 1  Other diseases with similar symptoms and common misdiagnoses. 2  Tests to determine if these are the symptoms of Pernicious anemia. 3  Symptoms that may be caused by complications of Pernicious anemia. 4  Underlying causes of Pernicious anemia."
3,msmarco,_doc,MARCO_1796657,6.5075006,"How severe or frequent your symptoms are relates to how severe your anemia is. People who have mild anemia, from a mild iron deficiency, for instance, may not have any symptoms at all, while people with severe anemia can have much more noticeable and longer lasting symptoms. Anemia symptoms include: 1  Fatigue.2  This is by far the most common anemia symptom. 3  You may feel very tired or weak and unable to summon the energy for most daily activities. 4  Dizziness. 5  Dizziness is most likely to occur when you stand up from a sitting or resting position.6  Shortness of breath.nemia symptoms include: 1  Fatigue. 2  This is by far the most common anemia symptom. 3  You may feel very tired or weak and unable to summon the energy for most daily activities. 4  Dizziness. 5  Dizziness is most likely to occur when you stand up from a sitting or resting position. 6  Shortness of breath."
4,msmarco,_doc,MARCO_6059759,6.3790474,"There are also many other symptoms that can accompany the symptoms of anemia, depending on the disease, disorder or condition that is causing anemia. Complications of anemia can be serious, even life-threatening. Underlying diseases, disorders or conditions of anemia can also cause complications.here are also many other symptoms that can accompany the symptoms of anemia, depending on the disease, disorder or condition that is causing anemia. Complications of anemia can be serious, even life-threatening. Underlying diseases, disorders or conditions of anemia can also cause complications."
5,msmarco,_doc,MARCO_3831358,6.307029,"People who have mild hemolytic anemia often have no signs or symptoms. More severe hemolytic anemia may cause many signs and symptoms, and they may be serious. Many of the signs and symptoms of hemolytic anemia apply to all types of anemia. Signs and Symptoms of Anemia. The most common symptom of all types of anemia is fatigue (tiredness)."
6,msmarco,_doc,MARCO_7128924,6.2664075,Anemia in children and Anemia (3 causes) Anemia in children and Blood symptoms (3 causes) Anemia in children and Body symptoms (3 causes) Anemia in children and Bowel movements (3 causes) Anemia in children and Bowel problems (3 causes) Anemia in children and Clubbing of fingers (3 causes) Anemia in children and Clubbing of toes (3 causes) Anemia in children and Digestive symptoms (3 causes)
7,msmarco,_doc,MARCO_6714791,6.2628174,"Symptoms of anemia. The most common symptom of anemia, regardless of type, is a feeling of fatigue and a lack of energy. Other common symptoms of anemia may include: 1  Paleness of skin. 2  Fast or irregular heartbeat. 3  Shortness of breath.4  Chest pain. 5  Fever.ymptoms of anemia. The most common symptom of anemia, regardless of type, is a feeling of fatigue and a lack of energy. Other common symptoms of anemia may include: 1  Paleness of skin. 2  Fast or irregular heartbeat. 3  Shortness of breath."
8,msmarco,_doc,MARCO_2902894,6.2476654,"A lack of vitamin B12 (vitamin B12 deficiency) causes the signs and symptoms of pernicious anemia. Without enough vitamin B12, your body can't make enough healthy red blood cells, which causes anemia.Some of the signs and symptoms of pernicious anemia apply to all types of anemia. Other signs and symptoms are specific to a lack of vitamin B12.ithout enough vitamin B12, your body can't make enough healthy red blood cells, which causes anemia. Some of the signs and symptoms of pernicious anemia apply to all types of anemia. Other signs and symptoms are specific to a lack of vitamin B12."
9,msmarco,_doc,MARCO_7137447,6.1229787,"The signs and symptoms of iron-deficiency anemia depend on its severity. Mild to moderate iron-deficiency anemia may have no signs or symptoms. When signs and symptoms do occur, they can range from mild to severe. Many of the signs and symptoms of iron-deficiency anemia apply to all types of anemia. Signs and Symptoms of Anemia"
